class,precision,recall,f1-score,support
austrotephritis,0.89,1,0.94,16
bactrocera_curcubitae,1,1,1,7
bactrocera_distincta,1,1,1,12
bactrocera_dorsalis,1,0.9,0.95,10
bactrocera_facialis,0.88,0.78,0.82,9
bactrocera_frauenfeldi,0.88,1,0.93,7
bactrocera_kirki,0.86,1,0.92,6
bactrocera_melanotus,1,0.88,0.93,8
bactrocera_passiflorae,0.86,0.75,0.8,8
bactrocera_psidii,1,0.5,0.67,2
bactrocera_tryoni,0.67,1,0.8,6
bactrocera_umbrosus,1,1,1,7
bactrocera_xanthodes,1,1,1,10
ceratitis,1,1,1,11
procecidochares,1,1,1,7
sphenella,1,1,1,4
trupanea,1,0.99,0.99,157
urophora,1,1,1,10
accuracy,NA,NA,0.97,297
macro avg,0.95,0.93,0.93,297
weighted avg,0.97,0.97,0.97,297
