ACTUAL/PREDICTED         	austrotephritis	bactrocera_curcubitae	bactrocera_distincta	bactrocera_dorsalis	bactrocera_facialis	bactrocera_frauenfeldi	bactrocera_kirki	bactrocera_melanotus	bactrocera_passiflorae	bactrocera_psidii	bactrocera_tryoni	bactrocera_umbrosus	bactrocera_xanthodes	ceratitis	procecidochares	sphenella	trupanea	urophora	RECALL
austrotephritis               	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000
bactrocera_curcubitae         	0	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.947
bactrocera_distincta          	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000
bactrocera_dorsalis           	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000
bactrocera_facialis           	0	0	0	2	19	0	1	0	3	0	0	0	1	0	0	0	0	0	0.731
bactrocera_frauenfeldi        	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1.000
bactrocera_kirki              	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0.941
bactrocera_melanotus          	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0.958
bactrocera_passiflorae        	0	0	0	0	3	0	0	0	18	0	2	0	0	0	0	0	0	0	0.783
bactrocera_psidii             	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0.750
bactrocera_tryoni             	0	0	0	2	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0.882
bactrocera_umbrosus           	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	1.000
bactrocera_xanthodes          	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	1.000
ceratitis                     	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	1.000
procecidochares               	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	1.000
sphenella                     	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1.000
trupanea                      	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0.996
urophora                      	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	1.000
PRECISION                	0.960	1.000	1.000	0.879	0.864	0.952	0.941	0.958	0.818	1.000	0.882	1.000	0.933	1.000	1.000	1.000	1.000	1.000

correct: 850 (97.70%) incorrect: 20
