ACTUAL/PREDICTED         	austrotephritis_cassiniae	austrotephritis_marginata	austrotephritis_plebeia	austrotephritis_thoracica	bactrocera_curcubitae	bactrocera_facialis	bactrocera_frauenfeldi	bactrocera_kirki	bactrocera_passiflorae	bactrocera_psidii	bactrocera_tryoni	bactrocera_umbrosus	bactrocera_xanthodes	ceratitis_capitata	ceratitis_rosa	dacus_distinctus	dacus_dorsalis	dacus_melanotus	procecidochares_alani	procecidochares_utilis	sphenella_fascigera	trupanea	trupanea_alboapicata	trupanea_centralis	trupanea_extensa	trupanea_fenwicki	trupanea_longipennis	urophora_cardui	urophora_solstitialis	urophora_stylata	RECALL
austrotephritis_cassiniae     	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000
austrotephritis_marginata     	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000
austrotephritis_plebeia       	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.900
austrotephritis_thoracica     	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.875
bactrocera_curcubitae         	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000
bactrocera_facialis           	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667
bactrocera_frauenfeldi        	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000
bactrocera_kirki              	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250
bactrocera_passiflorae        	0	0	0	0	0	2	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.700
bactrocera_psidii             	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.500
bactrocera_tryoni             	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667
bactrocera_umbrosus           	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.200
bactrocera_xanthodes          	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000
ceratitis_capitata            	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000
ceratitis_rosa                	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000
dacus_distinctus              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.900
dacus_dorsalis                	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0.556
dacus_melanotus               	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0.778
procecidochares_alani         	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1.000
procecidochares_utilis        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0.778
sphenella_fascigera           	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0.800
trupanea                      	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	2	0	0	1	0	0	0	0.993
trupanea_alboapicata          	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.000
trupanea_centralis            	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0.000
trupanea_extensa              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0.000
trupanea_fenwicki             	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0.077
trupanea_longipennis          	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0.000
urophora_cardui               	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1.000
urophora_solstitialis         	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1.000
urophora_stylata              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1.000
PRECISION                	1.000	1.000	1.000	0.875	0.917	0.667	1.000	0.500	0.538	0.667	0.444	1.000	0.833	0.909	1.000	0.900	0.833	1.000	0.769	1.000	1.000	0.926	0.000	0.000	0.000	1.000	0.000	1.000	1.000	1.000

correct: 610 (90.50%) incorrect: 64
